A1.1: Grundlagen - Fundamentos,,,,A1.1: Routine - Rutina,,,
Infinitive,Perfekt,Präteritum,Übersetzung,Infinitive,Perfekt,Präteritum,Übersetzung
sein,gewesen,war,ser / estar,arbeiten,gearbeitet,arbeitte,trabajar
haben,gehabt,hatte,tener,wecken,geweckt,weckte,(despertar a alguien)
werden,geworden,wurde,llegar a ser,rufen,gerufen,rief,llamar (a voces)
wohnen,gewohnt,wohnte,vivir / residir,grüßen,gegrüßt,grüßte,saludar
geben,gegeben,gab,dar,A1.1: Tägliche Handlungen - Acciones Diarias,,,
machen,gemacht,machte,hacer,Infinitive,Perfekt,Präteritum,Übersetzung
kommen,gekommen,kam,venir,öffnen,geöffnet,öffnte,(abrir)
gehen,gegangen,ging,ir / caminar,schließen,geschlossen,schloss,(cerrar)
A1.1: Grundbedürfnisse - Necesidades básicas,,,,abschließen,abgeschlossen,abschließte,(cerrar con llave)
Infinitive,Perfekt,Präteritum,Übersetzung,drücken,gedrückt,drückte,presionar / pulsar
essen,gegessen,aß,comer,ziehen,gezogen,zog,tirar / jalar
trinken,getrunken,trank,beber,schneiden,geschnitten,schneidte,(cortar)
rauchen,geraucht,rauchte,fumar,bitten,gebeten,bat,(pedir / rogar)
sehen,gesehen,sah,ver,bedanken,bedankt,bedankte,agradecer / dar las gracias
bringen,gebracht,brachte,traer / llevar,A1.1: Bewegung - Movimiento,,,
brauchen,gebraucht,brauchte,necesitar,Infinitive,Perfekt,Präteritum,Übersetzung
schlafen,geschlafen,schlief,dormir,treiben,getrieben,trieb,(practicar deportes)
A1.1: Routine - Rutina,,,,laufen,gelaufen,lief,correr
Infinitive,Perfekt,Präteritum,Übersetzung,tanzen,getanzt,tanzte,bailar
aufwachen,aufgewacht,wachte auf,despertarse,wandern,gewandert,wanderte,hacer senderismo
aufstehen,aufgestanden,aufstehte,(levantarse),spazieren,spaziert,spazierte,(pasear)
frühstücken,gefrühstückt,frühstückte,desayunar,bewegen,bewegt,bewegte,mover / moverse
mittagessen,mittaggegessen,aß zu Mittag,almorzar,fangen,gefangen,fing,(atrapar / coger)
lesen,gelesen,las,leer,A1.1: Gedanken - Pensamientos,,,
hören,gehört,hörte,oír / escuchar,Infinitive,Perfekt,Präteritum,Übersetzung
schreiben,geschrieben,schrieb,escribir,wissen,gewusst,wusste,"saber (info., temas)"
sprechen,gesprochen,sprach,hablar,kennen,gekannt,kannte,conocer (pers. / lugar)
,,,,,,,
A1.1: Gedanken - Pensamientos,,,,A1.1: Modalverben - Verbos modales,,,
Infinitive,Perfekt,Präteritum,Übersetzung,Infinitive,Perfekt,Präteritum,Übersetzung
denken,gedacht,dachte,pensar,dürfen,gedurft,durfte,poder (permiso)
glauben,geglaubt,glaubte,creer,können,gekonnt,konnte,poder / saber (habil.)
träumen,geträumt,träumte,soñar,müssen,gemusst,musste,tener que / deber
kennenlernen,kennengelernt,kennenlernte,conocer por primera vez,sollen,gesollt,sollte,"deber / ""se supone que"""
vergessen,vergessen,vergesste,olvidar,wollen,gewollt,wollte,querer
erinnern,erinnert,erinnerte,recordar / acordarse,mögen,gemocht,mochte,gustar
A1.1: Einkauf - Compras,,,,A1.1: Gefühle - Sentimientos,,,
Infinitive,Perfekt,Präteritum,Übersetzung,Infinitive,Perfekt,Präteritum,Übersetzung
kaufen,gekauft,kaufte,comprar (algo específico / la transacción),gefallen,gefallen,gefallte,(gustar)
einkaufen,eingekauft,einkaufte,hacer mercado / ir de compras,lieben,geliebt,liebte,amar
bezahlen,bezahlt,bezahlte,pagar,hassen,gehasst,hasste,(odiar)
verkaufen,verkauft,verkaufte,(vender),lachen,gelacht,lachte,(reír)
kosten,gekostet,kostte,costar,weinen,geweint,weinte,(llorar)
bestellen,bestellt,bestellte,pedir / ordenar (comida/algo),fühlen,gefühlt,fühlte,(sentir)
A1.1: Logistik - Logística,,,,freuen,gefreut,freute,(alegrarse)
Infinitive,Perfekt,Präteritum,Übersetzung,empfehlen,empfohlen,empfahl,(recomendar)
packen,gepackt,packte,empacar,spielen,gespielt,spielte,Jugar
auspacken,ausgepackt,auspackte,(desempacar),zahlen,gezahlt,zahlte,Pagar
schicken,geschickt,schickte,enviar,,,,
versenden,versendet,versendete,enviar / despachar,,,,
liefern,geliefert,lieferte,entregar / suministrar,,,,
laden,geladen,lud,cargar (invitar),,,,
zurückbringen,zurückgebracht,brachte zurück,devolver / traer de vuelta,,,,
abgeben,abgegeben,abgebte,entregar,,,,
